ui_region,ui_region_name,kto_content_type_id,kto_content_type_name,ui_category,place_count,pet_known_count,pet_known_pct,snapshot_sha256,design_version
east,동부 (조천),38,쇼핑,spot,9,5,55.56,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
jeju_city,제주시,15,축제공연행사,spot,9,0,0.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
seogwipo,서귀포시,15,축제공연행사,spot,9,0,0.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
west,서부 (안덕),14,문화시설,spot,9,1,11.11,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
west,서부 (한림),39,음식점,cafe,9,0,0.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
west,서부 (한경),39,음식점,food,9,0,0.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
east,동부 (성산),14,문화시설,spot,8,0,0.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
east,동부 (구좌),28,레포츠,spot,8,1,12.5,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
east,동부 (성산),39,음식점,cafe,8,0,0.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
west,서부 (안덕),39,음식점,cafe,8,0,0.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
east,동부 (표선),32,숙박,stay,7,0,0.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
west,서부 (한경),28,레포츠,spot,7,0,0.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
west,서부 (한림),28,레포츠,spot,7,0,0.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
west,서부 (안덕),28,레포츠,spot,7,0,0.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
east,동부 (구좌),32,숙박,stay,6,0,0.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
west,서부 (대정),39,음식점,cafe,6,0,0.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
east,동부 (표선),39,음식점,cafe,5,0,0.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
east,동부 (조천),39,음식점,cafe,5,0,0.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
west,서부 (한림),38,쇼핑,spot,5,2,40.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
east,동부 (표선),14,문화시설,spot,4,1,25.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
east,동부 (구좌),14,문화시설,spot,3,0,0.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
east,동부 (조천),15,축제공연행사,spot,3,0,0.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
east,동부 (성산),38,쇼핑,spot,3,1,33.33,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
west,서부 (한경),14,문화시설,spot,3,0,0.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
west,서부 (애월),14,문화시설,spot,3,0,0.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
west,서부 (애월),15,축제공연행사,spot,3,0,0.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
west,서부 (대정),28,레포츠,spot,3,0,0.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
west,서부 (대정),38,쇼핑,spot,3,0,0.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
west,서부 (한경),38,쇼핑,spot,3,1,33.33,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
west,서부 (한경),39,음식점,cafe,3,0,0.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
west,서부 (대정),14,문화시설,spot,2,0,0.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
west,서부 (한림),14,문화시설,spot,2,0,0.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
west,서부 (한경),32,숙박,stay,2,0,0.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
east,동부 (표선),15,축제공연행사,spot,1,0,0.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
east,동부 (표선),38,쇼핑,spot,1,0,0.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
west,서부 (안덕),15,축제공연행사,spot,1,0,0.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
west,서부 (대정),32,숙박,stay,1,0,0.0,2b91c56fc7b5196bc828c9238081678ed31b26a21a318ac516580238a40ca35b,hank-place-field-audit-v1
